Calibration Data,,Pole base length [inch],60,,,
,,,,,,
Extension Length [inch],Total Pole Length [inch],Rotational Position [Degrees],Weight [lbf],Avg Half Bridge Output 1,Avg Half Bridge Output 2,
2,64,0,0,233.4,192.53,
2,64,90,0,230.2,192.48,
2,64,280,0,230.6,189.9,
2,64,270,0,233.6,190.8,
10,80,0,0,233,193.5,
10,80,90,0,229.6,192.9,
10,80,280,0,230.1,189.7,
10,80,270,0,233.9,190.3,
20,100,0,0,233.9,194,
20,100,90,0,229.1,193.5,
20,100,280,0,229.7,189,
20,100,270,0,234.7,190,
30,120,0,0,234.3,195.3,
30,120,90,0,227.8,194.2,
30,120,280,0,228.8,188,
30,120,270,0,236.3,190.2,
40,140,0,0,234.7,196.4,
40,140,90,0,226,195.2,
40,140,280,0,227.7,186.8,
40,140,270,0,235,196.7,
50,160,0,0,236.7,196.7,
50,160,90,0,226.4,196.8,
50,160,280,0,226.6,186.5,
50,160,270,0,237.8,187.2,
2,64,0,2.5,234.5,194.5,
2,64,90,2.5,228.2,193.4,
2,64,280,2.5,229.9,188.5,
2,64,270,2.5,235.3,189.9,
10,80,0,2.5,235,196.1,
10,80,90,2.5,227,194.7,
10,80,280,2.5,228.5,187.1,
10,80,270,2.5,236.5,188.5,
20,100,0,2.5,236.8,197.3,
20,100,90,2.5,224.7,195.6,
20,100,280,2.5,227.1,185.3,
20,100,270,2.5,238.9,188.2,
30,120,0,2.5,240.3,199.2,
30,120,90,2.5,221.6,197.5,
30,120,280,2.5,224.4,182.9,
30,120,270,2.5,242,186,
40,140,0,2.5,241.7,202.8,
40,140,90,2.5,218,199.2,
40,140,280,2.5,223.4,179.2,
40,140,270,2.5,244.6,183,
50,160,0,2.5,244,204.8,
50,160,90,2.5,215.6,201,
50,160,280,2.5,219.3,178.4,
50,160,270,2.5,248.5,183.1,
